date_run,status,times_seen,first_seen,score,title,company,source,location,posted,reason,url
2026-04-24,NEW,1,2026-04-24,5,xAI: Finance Expert - Portfolio Management,Unknown,We Work Remotely,Remote,Apr 16,Could not score.,https://weworkremotely.com/remote-jobs/xai-finance-expert-portfolio-management
2026-04-24,NEW,1,2026-04-24,5,"Affirm: Senior Product Manager, Fraud",Unknown,We Work Remotely,Remote,Apr 14,Could not score.,https://weworkremotely.com/remote-jobs/affirm-senior-product-manager-fraud
2026-04-24,NEW,1,2026-04-24,5,Flag Theory: Multi-Jurisdiction Accountant for an International Client Portfolio (Europe),Unknown,We Work Remotely,Remote,Apr 10,Could not score.,https://weworkremotely.com/remote-jobs/flag-theory-multi-jurisdiction-accountant-for-an-international-client-portfolio-europe
2026-04-24,NEW,1,2026-04-24,5,Red Ventures: Director of Product Management | Bankrate,Unknown,We Work Remotely,Remote,Apr 09,Could not score.,https://weworkremotely.com/remote-jobs/red-ventures-director-of-product-management-bankrate
2026-04-24,NEW,1,2026-04-24,5,Branch International: Product Designer - Growth,Unknown,We Work Remotely,Remote,Apr 09,Could not score.,https://weworkremotely.com/remote-jobs/branch-international-product-designer-growth
2026-04-24,NEW,1,2026-04-24,5,"Accelerate Change: Development Operations Support Contractor (Freelance, Remote)",Unknown,We Work Remotely,Remote,Apr 03,Could not score.,https://weworkremotely.com/remote-jobs/accelerate-change-development-operations-support-contractor-freelance-remote
2026-04-24,NEW,1,2026-04-24,5,Prepterminal.com: Chief Operating Officer (COO) / Growth GM,Unknown,We Work Remotely,Remote,Mar 04,Could not score.,https://weworkremotely.com/remote-jobs/prepterminal-com-chief-operating-officer-coo-growth-gm
2026-04-24,NEW,1,2026-04-24,5,Plaid: Product Manager – Payments,Unknown,We Work Remotely,Remote,3d ago,Could not score.,https://weworkremotely.com/remote-jobs/plaid-product-manager-payments
2026-04-24,NEW,1,2026-04-24,5,Localize: Engineering Manager,Unknown,We Work Remotely,Remote,3d ago,Could not score.,https://weworkremotely.com/remote-jobs/localize-engineering-manager
2026-04-24,NEW,1,2026-04-24,5,Cookunity: Product Manager - B2B,Unknown,We Work Remotely,Remote,6d ago,Could not score.,https://weworkremotely.com/remote-jobs/cookunity-product-manager-b2b
2026-04-24,NEW,1,2026-04-24,5,Payra: Product Lead - Data Products,Unknown,We Work Remotely,Remote,Apr 14,Could not score.,https://weworkremotely.com/remote-jobs/payra-product-lead-data-products
2026-04-24,NEW,1,2026-04-24,5,"Okta: Principal Product Manager, LogIn",Unknown,We Work Remotely,Remote,Apr 09,Could not score.,https://weworkremotely.com/remote-jobs/okta-principal-product-manager-login
2026-04-24,NEW,1,2026-04-24,5,"Signifyd: Senior Product Manager, Identity & Intelligence Platform",Unknown,We Work Remotely,Remote,Apr 09,Could not score.,https://weworkremotely.com/remote-jobs/signifyd-senior-product-manager-identity-intelligence-platform
2026-04-24,NEW,1,2026-04-24,5,Deepgram: Staff Product Analyst,Unknown,We Work Remotely,Remote,Apr 09,Could not score.,https://weworkremotely.com/remote-jobs/deepgram-staff-product-analyst
2026-04-24,NEW,1,2026-04-24,5,"Lattice: Senior Director of Product, Platform AI",Unknown,We Work Remotely,Remote,Apr 09,Could not score.,https://weworkremotely.com/remote-jobs/lattice-senior-director-of-product-platform-ai
2026-04-24,NEW,1,2026-04-24,5,Sardine: Product Manager - Bot Detection,Unknown,We Work Remotely,Remote,Apr 09,Could not score.,https://weworkremotely.com/remote-jobs/sardine-product-manager-bot-detection
2026-04-24,NEW,1,2026-04-24,5,"Ionic Partners: Technical Product Manager (OTE $70,000/year USD), @Sparkrock Finance",Unknown,We Work Remotely,Remote,Apr 09,Could not score.,https://weworkremotely.com/remote-jobs/ionic-partners-technical-product-manager-ote-70-000-year-usd-sparkrock-finance-1
2026-04-24,NEW,1,2026-04-24,5,Cast Ai: Senior Product Manager - Agentic AI product,Unknown,We Work Remotely,Remote,Apr 09,Could not score.,https://weworkremotely.com/remote-jobs/cast-ai-senior-product-manager-agentic-ai-product
